Index,air_temperature,relative_humidity,net_radiation,rainfall_amount,wind_speed,wind_from_direction,net_downward_shortwave_flux,net_downward_longwave_flux,soil_moisture_content_50,soil_moisture_content_200,liquid_soil_water_pressure_50,liquid_soil_water_pressure_200,soil_temperature_0,soil_temperature_50,soil_temperature_100,soil_temperature_200,soil_temperature_500,latent_heat_flux_in_air,sensible_heat_flux_in_air,evapotranspiration_amount
2009-10-01,13.577,0.379,0,0,3.534,7.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-02,12.622,0.373,161.715,0,3.645,217.935,NA,NA,NA,NA,NA,NA,11.108,11.444,11.819,11.526,11.161,NA,NA,NA
2009-10-03,9.681,0.594,162.959,0,2.236,140.239,NA,NA,NA,NA,NA,NA,10.441,10.753,10.991,10.43,10.288,NA,NA,NA
2009-10-04,9.628,0.741,161.41,0,1.934,106.529,NA,NA,NA,NA,NA,NA,10.85,11.137,11.375,10.817,10.517,NA,NA,NA
2009-10-05,9.759,0.789,134.322,0,1.794,114.535,NA,NA,NA,NA,NA,NA,10.604,10.664,10.599,10.536,9.754,NA,NA,NA
2009-10-06,11.303,0.823,135.233,0,1.415,132.125,NA,NA,NA,NA,NA,NA,12.457,12.476,12.482,12.266,11.947,NA,NA,NA
2009-10-07,13.091,0.816,145.749,0,1.31,145.464,NA,NA,NA,NA,NA,NA,NA,14.519,14.592,14.096,14.217,NA,NA,NA
2009-10-08,12.292,0.915,99.081,0,1.137,216.891,NA,NA,NA,NA,NA,NA,14.408,14.29,14.443,14.188,14.319,NA,NA,NA
2009-10-09,11.155,0.944,56.744,1.1,0.925,197.3,NA,NA,NA,NA,NA,NA,12.848,12.681,12.707,12.685,12.516,NA,NA,NA
2009-10-10,10.194,0.849,87.642,2.9,1.617,175.916,NA,NA,NA,NA,15.342,11.176,11.645,11.401,11.487,11.62,11.09,NA,NA,NA
