Index,air_temperature,relative_humidity,net_radiation,rainfall_amount,wind_speed,wind_from_direction,net_downward_shortwave_flux,net_downward_longwave_flux,soil_moisture_content_50,soil_moisture_content_200
2009-10-02 01:00:00,12.357,0.405,0,0,3.49,11.278,NA,NA,NA,NA
2009-10-02 02:00:00,12.072,0.417,0,0,3.824,95.463,NA,NA,NA,NA
2009-10-02 03:00:00,11.61,0.426,0,0,3.674,6.478,NA,NA,NA,NA
2009-10-02 04:00:00,11.135,0.413,0,0,3.251,98.09,NA,NA,NA,NA
2009-10-02 05:00:00,10.438,0.43,0,0,2.644,25.275,NA,NA,NA,NA
2009-10-02 06:00:00,10.067,0.438,5.965,0,3.086,27.172,NA,NA,NA,NA
2009-10-02 07:00:00,10.65,0.439,32.407,0,2.367,7.6,NA,NA,NA,NA
2009-10-02 08:00:00,11.473,0.417,197.325,0,3.18,347.504,NA,NA,NA,NA
2009-10-02 09:00:00,12.38,0.391,396.025,0,3.734,337.473,NA,NA,NA,NA
2009-10-02 10:00:00,13.115,0.358,500.075,0,3.511,349.704,NA,NA,NA,NA
2009-10-02 11:00:00,13.963,0.314,564.025,0,3.628,339.746,NA,NA,NA,NA
2009-10-02 12:00:00,15.035,0.305,580.025,0,2.751,328.477,NA,NA,NA,NA
2009-10-02 13:00:00,15.758,0.302,543.85,0,2.738,311.279,NA,NA,NA,NA
2009-10-02 14:00:00,16.49,0.282,467.175,0,3.133,305.427,NA,NA,NA,NA
2009-10-02 15:00:00,15.965,0.282,344.575,0,3.646,336.957,NA,NA,NA,NA
2009-10-02 16:00:00,15.255,0.291,198.8,0,4.819,347.975,NA,NA,NA,NA
2009-10-02 17:00:00,13.738,0.324,48.528,0,5.452,348.784,NA,NA,NA,NA
2009-10-02 18:00:00,12.568,0.353,2.385,0,5.741,354.539,NA,NA,NA,NA
2009-10-02 19:00:00,12.07,0.374,0,0,5.269,269.235,NA,NA,NA,NA
2009-10-02 20:00:00,11.468,0.397,0,0,5.409,267.608,NA,NA,NA,NA
2009-10-02 21:00:00,10.852,0.399,0,0,2.792,179.276,NA,NA,NA,NA
2009-10-02 22:00:00,10.832,0.394,0,0,2.579,263.287,NA,NA,NA,NA
2009-10-02 23:00:00,10.633,0.423,0,0,2.857,264.813,NA,NA,NA,NA
